vertex,name,kc,maxl,cpu,ram,bw,(posx),(posy)
0,0,1,2,0,0,150,0,0
2,1,1,2,0,0,150,50,66
4,2,2,3,50,700,400,25,177
5,3,2,3,30,500,500,125,111
6,4,2,3,30,500,500,75,22
8,5,1,2,0,0,200,12,88
9,6,2,3,20,500,300,112,14
11,7,2,3,30,500,500,162,81
13,8,1,3,0,0,400,137,192
14,9,2,2,60,6600,300,87,125
16,10,1,2,0,0,200,6,170
17,11,1,2,0,0,200,106,103
18,12,2,3,30,500,500,56,7
19,13,1,2,0,0,200,156,140
20,14,2,3,20,500,300,31,74
22,15,2,3,30,500,500,81,185
24,16,1,2,0,0,200,18,29
26,17,2,3,50,700,400,68,96
28,18,1,2,0,0,150,43,138
30,19,2,3,20,500,300,93,49
31,20,2,3,40,700,400,193,182
32,21,2,3,20,500,300,3,116
33,22,1,2,0,0,200,103,27
34,23,1,2,0,0,200,53,160
35,24,2,3,50,700,400,153,93
36,25,1,2,0,0,150,28,19
37,26,1,3,0,0,400,128,153
38,27,1,2,0,0,200,78,86
41,28,2,3,50,700,400,115,130
42,29,2,3,30,500,500,65,41
43,30,2,3,40,700,400,165,175
45,31,1,2,0,0,150,140,12
46,32,1,2,0,0,200,90,145
48,33,1,2,0,0,150,9,56
50,34,2,3,50,700,400,59,123
52,35,1,2,0,0,150,34,167
53,36,2,3,40,700,400,134,101
54,37,1,2,0,0,150,84,2
55,38,1,2,0,0,200,184,135
56,39,1,2,0,0,200,21,69
60,40,2,2,60,6600,300,46,24
61,41,1,2,0,0,200,146,158
62,42,1,2,0,0,200,96,91
63,43,1,2,0,0,200,196,17
64,44,2,3,40,700,400,1,150
65,45,2,3,40,700,400,101,83
66,46,1,2,0,0,200,51,61
67,47,2,3,30,500,500,151,195
68,48,2,2,60,6600,300,26,128
70,49,1,2,0,0,200,76,172
71,50,2,3,40,700,400,176,106
72,51,2,2,60,6600,300,14,9
74,52,2,3,30,500,500,64,76
75,53,1,3,0,0,400,164,54
76,54,2,3,40,700,400,39,187
78,55,1,2,0,0,150,89,32
79,56,1,2,0,0,150,189,165
80,57,2,3,50,700,400,7,98
81,58,1,2,0,0,150,107,1
82,59,2,3,40,700,400,57,134
83,60,1,2,0,0,150,157,68
84,61,1,3,0,0,400,32,46
85,62,2,3,30,500,500,132,179
86,63,1,2,0,0,200,82,112
87,64,2,2,60,6600,300,182,23
88,65,1,2,0,0,150,20,157
89,66,2,2,60,6600,300,120,90
91,67,1,2,0,0,200,170,149
92,68,2,3,40,700,400,45,83
94,69,1,2,0,0,150,95,194
96,70,1,2,0,0,200,4,38
98,71,2,3,40,700,400,54,105
99,72,2,3,40,700,400,154,9
103,73,1,3,0,0,400,179,186
104,74,2,3,50,700,400,17,120
105,75,1,2,0,0,200,117,31
106,76,2,2,60,6600,300,67,164
108,77,1,2,0,0,200,42,6
109,78,1,2,0,0,200,142,139
110,79,2,3,50,700,400,92,73
111,80,1,3,0,0,400,192,51
112,81,2,3,30,500,500,10,184
113,82,1,3,0,0,400,110,117
114,83,1,3,0,0,400,60,28
118,84,1,2,0,0,150,85,154
119,85,1,2,0,0,200,185,88
121,86,2,3,20,500,300,123,199
122,87,2,3,40,700,400,73,132
123,88,2,2,60,6600,300,173,43
124,89,2,3,50,700,400,48,176
125,90,1,2,0,0,200,148,110
126,91,2,3,20,500,300,98,13
127,92,1,2,0,0,200,198,147
131,93,2,3,30,500,500,150,125
132,94,1,2,0,0,200,25,36
133,95,1,2,0,0,200,125,169
135,96,2,3,20,500,300,175,4
137,97,1,2,0,0,200,113,70
138,98,2,3,30,500,500,63,48
139,99,2,3,30,500,500,163,181
