start,end,weight
0,24,1
0,36,1
1,5,1
1,14,1
1,17,1
1,25,1
1,37,1
1,41,1
1,46,1
2,12,1
2,20,1
2,26,1
2,38,1
2,42,1
2,56,1
3,15,1
3,21,1
3,29,1
3,39,1
3,45,1
3,51,1
3,57,1
4,16,1
4,34,1
4,40,1
4,52,1
5,17,1
5,35,1
5,41,1
5,53,1
6,9,1
6,18,1
6,30,1
6,33,1
6,42,1
6,54,1
7,19,1
7,23,1
7,31,1
7,43,1
7,55,1
8,20,1
8,32,1
8,44,1
8,48,1
8,56,1
9,33,1
9,45,1
9,54,1
9,57,1
10,14,1
10,28,1
10,34,1
10,46,1
10,50,1
10,52,1
10,58,1
11,29,1
11,35,1
11,39,1
11,47,1
11,53,1
11,59,1
12,20,1
12,24,1
12,42,1
12,48,1
12,56,1
13,25,1
13,43,1
13,49,1
14,17,1
14,26,1
14,41,1
14,46,1
14,50,1
15,27,1
15,39,1
15,51,1
16,40,1
16,52,1
17,26,1
17,38,1
17,41,1
17,53,1
18,36,1
18,42,1
18,54,1
19,23,1
19,37,1
19,43,1
19,55,1
19,59,1
20,44,1
20,48,1
20,56,1
21,29,1
21,30,1
21,33,1
21,51,1
21,57,1
22,34,1
22,49,1
22,58,1
23,35,1
23,55,1
23,59,1
24,36,1
24,48,1
25,37,1
25,41,1
25,46,1
25,49,1
26,38,1
26,44,1
26,50,1
27,45,1
27,51,1
28,34,1
28,44,1
28,50,1
28,52,1
29,35,1
29,39,1
29,53,1
29,57,1
30,33,1
30,42,1
30,57,1
31,43,1
32,44,1
33,54,1
33,57,1
34,50,1
34,52,1
34,58,1
35,53,1
35,59,1
37,41,1
39,47,1
39,51,1
40,52,1
41,46,1
41,53,1
44,50,1
45,51,1
46,50,1
48,56,1
55,59,1
