start,end,weight
0,2,1
1,2,1
1,4,1
1,5,1
1,6,1
1,9,1
2,5,1
3,5,1
3,32,1
4,6,1
4,9,1
5,32,1
6,8,1
6,9,1
7,11,1
7,15,1
7,40,1
8,10,1
9,11,1
11,36,1
12,14,1
12,17,1
13,14,1
13,17,1
13,18,1
13,21,1
13,48,1
14,16,1
14,17,1
14,18,1
15,40,1
15,42,1
15,44,1
16,18,1
18,20,1
18,21,1
19,21,1
19,22,1
19,23,1
19,27,1
19,48,1
19,52,1
21,23,1
21,48,1
22,24,1
22,27,1
23,27,1
23,48,1
23,50,1
23,52,1
24,26,1
25,26,1
25,28,1
25,29,1
26,28,1
26,29,1
27,29,1
27,52,1
27,56,1
29,56,1
30,33,1
30,35,1
31,35,1
31,39,1
31,64,1
31,66,1
32,34,1
33,35,1
34,36,1
35,64,1
36,38,1
37,38,1
37,41,1
37,45,1
38,41,1
39,41,1
39,66,1
39,68,1
40,42,1
41,45,1
42,44,1
42,45,1
43,46,1
43,47,1
43,51,1
43,76,1
44,46,1
45,47,1
45,72,1
47,72,1
47,74,1
48,50,1
49,50,1
49,52,1
49,53,1
49,54,1
49,57,1
50,52,1
50,53,1
50,54,1
51,53,1
51,76,1
51,80,1
52,54,1
53,80,1
54,56,1
54,57,1
55,59,1
55,88,1
57,59,1
59,84,1
59,88,1
60,62,1
60,65,1
61,62,1
61,65,1
61,69,1
61,96,1
62,65,1
63,90,1
63,92,1
66,68,1
66,69,1
67,70,1
67,71,1
67,75,1
67,100,1
68,70,1
68,72,1
69,71,1
69,96,1
70,72,1
71,96,1
71,98,1
71,100,1
72,74,1
73,74,1
73,76,1
73,77,1
73,78,1
73,81,1
74,77,1
75,77,1
75,104,1
76,78,1
76,81,1
77,81,1
77,104,1
78,81,1
78,83,1
79,87,1
79,112,1
79,114,1
80,82,1
81,83,1
84,86,1
84,89,1
85,86,1
85,89,1
86,88,1
86,89,1
87,89,1
87,112,1
87,114,1
87,116,1
90,92,1
90,93,1
91,93,1
91,94,1
91,95,1
91,99,1
91,120,1
91,124,1
93,95,1
93,120,1
94,99,1
94,101,1
95,99,1
95,120,1
95,122,1
95,124,1
96,98,1
97,98,1
97,100,1
97,101,1
97,102,1
97,105,1
98,100,1
98,101,1
99,101,1
99,124,1
99,128,1
101,128,1
102,104,1
102,105,1
102,107,1
103,107,1
103,111,1
103,136,1
104,106,1
104,108,1
105,107,1
106,108,1
107,132,1
107,136,1
108,110,1
109,110,1
109,113,1
109,117,1
109,140,1
110,113,1
111,138,1
111,140,1
112,114,1
114,116,1
114,117,1
115,118,1
115,119,1
115,148,1
116,118,1
117,119,1
117,144,1
119,144,1
119,146,1
120,122,1
121,122,1
121,124,1
121,125,1
121,126,1
121,129,1
122,124,1
122,125,1
122,126,1
123,125,1
124,126,1
124,129,1
126,129,1
127,131,1
127,135,1
129,131,1
130,132,1
131,135,1
132,134,1
132,137,1
133,134,1
133,137,1
133,141,1
134,136,1
134,137,1
135,137,1
138,140,1
138,141,1
139,142,1
139,143,1
139,147,1
140,142,1
141,143,1
144,146,1
145,146,1
145,148,1
145,149,1
146,149,1
147,149,1
