vertex,name,kc,maxl,cpu,ram,bw,(posx),(posy)
0,1,1,2,0,0,200,0,0
1,2,2,3,30,500,500,250,333
2,3,1,2,0,0,200,125,166
4,4,2,3,20,500,300,62,444
6,5,2,3,20,500,300,187,555
7,6,1,2,0,0,200,437,888
8,7,1,4,0,0,200,31,722
9,8,1,2,0,0,200,281,537
12,9,1,4,0,0,200,93,1148
14,10,2,3,30,500,500,218,1314
15,11,2,3,20,500,300,468,1092
16,12,1,4,0,0,200,15,1425
18,13,1,4,0,0,200,140,1518
19,14,1,2,0,0,200,390,1851
20,15,1,4,0,0,200,78,1685
23,16,2,3,20,500,300,453,1796
24,17,2,3,20,500,300,46,2074
25,18,1,2,0,0,200,296,2407
26,19,2,3,20,500,300,171,2240
28,20,2,3,20,500,300,109,2345
30,21,1,4,0,0,200,734,123
31,22,1,2,0,0,200,984,456
33,23,2,3,20,500,300,757,67
34,24,2,3,20,500,300,632,401
36,25,1,4,0,0,200,570,549
37,26,2,3,30,500,500,820,882
38,27,2,3,20,500,300,695,716
40,28,1,2,0,0,200,539,993
42,29,1,4,0,0,200,664,1104
44,30,1,4,0,0,200,601,1271
46,31,1,4,0,0,200,726,1364
47,32,2,3,20,500,300,976,1197
48,33,1,2,0,0,200,523,1641
50,34,2,3,20,500,300,648,1808
51,35,2,3,30,500,500,898,1586
52,36,1,4,0,0,200,585,1919
54,37,1,4,0,0,200,710,2006
56,38,1,2,0,0,200,554,2172
57,39,1,2,0,0,200,804,2117
58,40,1,2,0,0,200,679,2450
60,41,2,3,20,500,300,1117,61
62,42,1,4,0,0,200,1242,228
63,43,1,4,0,0,200,1492,43
65,44,2,3,30,500,500,1253,209
66,45,2,3,20,500,300,1128,654
67,46,1,2,0,0,200,1378,987
69,47,1,2,0,0,200,1316,598
70,48,1,2,0,0,200,1191,932
73,49,2,3,30,500,500,1285,1358
75,50,2,3,30,500,500,1410,1135
76,51,2,3,30,500,500,1097,1469
77,52,1,4,0,0,200,1347,1302
79,53,1,2,0,0,200,1472,1913
80,54,2,3,20,500,300,1019,1746
82,55,2,3,30,500,500,1144,1837
83,56,1,2,0,0,200,1394,1670
84,57,1,2,0,0,200,1082,2115
86,58,2,3,30,500,500,1207,2281
88,59,2,3,30,500,500,1050,2393
89,60,2,3,20,500,300,1300,2226
90,61,1,2,0,0,200,1675,41
91,62,1,2,0,0,200,1925,374
94,63,2,3,30,500,500,1738,485
95,64,2,3,20,500,300,1988,318
96,65,2,3,20,500,300,1511,596
99,66,1,2,0,0,200,1886,522
100,67,2,3,30,500,500,1574,855
101,68,1,2,0,0,200,1824,689
102,69,2,3,30,500,500,1699,1133
104,70,1,2,0,0,200,1542,1300
105,71,2,3,30,500,500,1792,1078
106,72,1,2,0,0,200,1667,1411
109,73,2,3,20,500,300,1855,1849
110,74,1,4,0,0,200,1730,1683
111,75,2,3,30,500,500,1980,1627
112,76,1,4,0,0,200,1527,1960
114,77,2,3,30,500,500,1652,2072
116,78,1,4,0,0,200,1589,2238
117,79,2,3,20,500,300,1839,2053
118,80,1,4,0,0,200,1714,2386
121,81,1,2,0,0,200,2308,497
123,82,1,4,0,0,200,2433,109
124,83,1,4,0,0,200,2121,442
125,84,2,3,30,500,500,2371,275
126,85,2,3,20,500,300,2246,534
128,86,1,4,0,0,200,2001,701
130,87,2,3,30,500,500,2126,979
131,88,2,3,30,500,500,2376,812
132,89,1,2,0,0,200,2064,1090
133,90,2,3,20,500,300,2314,1423
136,91,2,3,30,500,500,2033,1343
137,92,1,2,0,0,200,2283,1176
138,93,1,2,0,0,200,2158,1621
141,94,1,2,0,0,200,2345,1565
142,95,1,2,0,0,200,2220,1899
143,96,2,3,20,500,300,2470,1732
144,97,2,3,20,500,300,2017,2047
147,98,2,3,30,500,500,2392,2158
148,99,2,3,20,500,300,2080,2491
149,100,1,2,0,0,200,2330,2325
