vertex,(posx),(posy)
9,281,37
4,62,444
1,250,333
20,78,685
12,93,648
16,15,925
28,109,1345
25,296,1407
24,46,1074
39,445,1660
34,132,1901
41,289,1827
53,335,2253
54,210,2006
45,351,2030
55,960,339
63,992,43
62,742,228
67,878,987
68,566,820
69,816,598
84,582,1115
82,644,1337
79,972,1413
88,550,1893
90,675,1541
96,511,1596
101,824,2189
105,792,2078
107,917,2244
119,1464,220
117,1339,53
118,1214,386
124,1121,942
125,1371,775
127,1496,868
134,1189,1257
132,1064,1090
142,1220,1399
151,1455,1936
147,1392,1658
153,1298,1528
156,1111,2139
162,1134,2002
157,1361,2473
167,1947,279
173,1853,205
168,1541,57
183,1962,631
177,1775,594
180,1587,520
191,1994,1181
188,1619,1242
187,1931,1409
202,1662,1995
203,1912,1829
201,1787,1662
219,1927,2119
210,1646,2144
211,1896,2477
228,2076,156
225,2263,45
220,2115,452
231,2451,600
241,2279,915
240,2029,582
242,2154,1248
250,2185,1390
251,2435,1223
253,2373,1871
259,2375,1927
263,2438,1686
265,2282,2464
268,2094,2408
273,2266,2124
